文件號碼,保險人姓名,註冊地點,業務類型,主要在香港業務,聯絡電話,傳真號碼,官方網站地址,電郵地址,注冊登記,
F772,信孚保險有限公司,菲律賓,一般,香港上環干諾道中二百號信德中心西座2701室,2559 4011,2858 1640,www.pioneer.com.ph,info@pioneerinsurance.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F772.pdf,
557462,美國信安保險有限公司,中國香港,長期,香港九龍觀塘道392號<br>創紀之城6期30樓,2263 0263,2827 1867,www.principal.com.hk,hkinfo@exchange.principal.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/557462.pdf,
1277947,保誠財險有限公司,中國香港,一般,香港鰂魚涌華蘭路25號柏克大廈(即前大昌行商業中心)3樓,2977 3888,2877 6994,www.prudential.com.hk,service@prudential.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/1277947.pdf,
1237941,保誠保險有限公司,中國香港,長期,香港鰂魚涌華蘭路18號港島東中心59樓,2977 3888,2877 6994,www.prudential.com.hk,service@prudential.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/1237941.pdf,
F1384,Prudential Insurance Company of America - The,美國,長期,香港中環皇后大道中99號中環中心66樓,(852) 3769 8200,(852) 2801 6355,www.prudential.com,fion.wong@pramerica.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F1384.pdf,
36108,昆士蘭保險(香港)有限公司,中國香港,一般,香港鰂魚涌英皇道979號太古坊濠豐大廈33樓,2828 3188,3607 0386,www.qbe.com/hk,info.gihk@qbe.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/36108.pdf,
11788,昆士蘭聯保保險有限公司,中國香港,一般,香港鰂魚涌英皇道979號太古坊濠豐大廈33樓,2877 8488,3607 0300,www.qbe.com/hk,info.hk@qbe.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/11788.pdf,
968560,昆士蘭按揭保險(亞洲)有限公司,中國香港,一般,香港鰂魚涌英皇道979號太古坊濠豐大廈33樓,2253 3518,2295 0047,www.qbemiasia.com,asia@qbemiasia.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/968560.pdf,
F6982,RGA Reinsurance Company,美國,長期 (R),香港港島東英皇道979號太古坊多盛大廈29樓,2511 8688,2511 8827,www.rgare.com,enquiry@hk.rgare.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F6982.pdf,
F9136,RL360 Insurance Company Limited,馬恩島,長期,香港上環德輔道中181號大新行1403室,3929 4333,2169 0181,www.rl360.com,hongkong@rl360.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F9136.pdf,
F4732,RL360 Life Insurance Company Limited,馬恩島,長期,香港上環德輔道中181號大新行1403室,3929 4333,2169 0181,www.rl360services.com,RL360ServicesHongKong@rl360.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F4732.pdf,
F7322,Schweizerische Rückversicherungs-Gesellschaft AG (Swiss Reinsurance Company Ltd),瑞士,綜合 (R),香港灣仔港灣道18號中環廣場61樓,2827 4345,2827 6033,www.swissre.com,asia@swissre.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F7322.pdf,
153640,法國再保險(亞洲)有限公司,中國香港,綜合 (R),香港中環添美道1號中信大廈8樓803-10室,2102 8600,2865 3413,www.scor.com,hk@scor.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/153640.pdf,
F8051,Scottish Widows Limited,英國,長期,香港灣仔告士打道128號祥豐大廈6樓F室,2956 1288,2956 2302,---,ClericalMedicalHongKong@scottishwidows.co.uk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F8051.pdf,
2757487,上海電氣保險有限公司,中國香港,一般 (C),香港金鐘道89號力寶中心第一座4102室,2525 3830,2525 6930,---,Jiangliang2@shanghai-electric.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/2757487.pdf,
F12456,Shipowners' Mutual Protection and Indemnity Association (Luxembourg) - The,盧森堡,一般,香港金鐘金鐘道89號力寶中心2座1612室,(852) 2522 2118,(852) 2522 0977,www.shipownersclub.com,Andrew.law@shipownersclub.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F12456.pdf,
168,先施保險置業有限公司,中國香港,一般,香港銅鑼灣禮頓道77號禮頓中心<br>24樓,2577 7832,2895 1439,---,info@sincere-insurance.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/168.pdf,
460,先施人壽保險有限公司,中國香港,長期,香港銅鑼灣禮頓道77號禮頓中心24樓,2577 7832,2895 1439,---,info@sincere-insurance.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/460.pdf,
1980905,中石化保險有限公司,中國香港,一般 (C),香港灣仔港灣道1號會展廣場辦公樓20層,2863 3088,2339 2333,---,insurance.csil@sinopec.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/1980905.pdf,
52320,日本財產保險(香港)有限公司,中國香港,一般,香港鰂魚涌英皇道979號太古坊<br>林肯大廈19樓,2831 9980,2573 2072,www.sompo.com.hk,enquiries@sompo.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/52320.pdf,
F624,Sompo Japan Nipponkoa Insurance Inc.,日本,一般,香港鰂魚涌英皇道九七九號太古坊林肯大廈十九樓,2827 1268,2827 1632,www.sjnk.co.jp/english/,sjnkre@sjnkre.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F624.pdf,
164858,Sompo Japan Nipponkoa Reinsurance Company Limited,中國香港,一般 (R),香港鰂魚涌英皇道九七九號太古坊林肯大廈十九樓,2827 1268,2827 1632,---,sjnkre@sjnkre.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/164858.pdf,
2207694,St. James's Place International (Hong Kong) Limited,中國香港,長期,中環皇后大道中5號衡怡大廈201室,2824 1083,---,www.sjp.asia,ihkcs@sjp.asia,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/2207694.pdf,
F24636,Standard Club Asia Ltd. - The,新加坡,一般,香港灣仔軒尼詩道302-308號集成中心7樓710室,2399 6120,2399 6126,http://www.standard-club.com/,pandi.hongkong@ctplc.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F24636.pdf,
662679,標準人壽保險(亞洲)有限公司,中國香港,長期,香港鰂魚涌英皇道979號太古坊林肯大廈12樓,2169 0700,2169 0220,www.standardlife.hk,cs@standardlife.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/662679.pdf,
1374538,Starr International Insurance (Asia) Limited,中國香港,一般,香港灣仔港灣道18號中環廣場19樓1901室,3765 5333,3765 5501,Starrcompanies.com,HKCustEnquiry@starrcompanies.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/1374538.pdf,
F22771,Steamship Mutual Underwriting Association Limited,英國,一般,香港灣仔分域街18號捷利中心1901室,2838 2722,2838 2009,www.steamshipmutual.com,rohan.bray@simsl.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F22771.pdf,
68102,新鴻基地產保險有限公司,中國香港,一般,香港港灣道30號新鴻基中心2305-16室,2827 8111,2827 0622,www.shkpi.com.hk,shkpi@shkp.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/68102.pdf,
F3725,香港永明金融有限公司,百慕達,長期,香港九龍紅磡紅鸞道18號祥祺中心A座16樓,2103 8888,2103 8997,www.sunlife.com.hk,---,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F3725.pdf,
F24946,Swiss Re Asia Pte. Ltd.,新加坡,綜合 (R),香港灣仔港灣道18號中環廣場61樓,2827 4345,2827 6033,www.swissre.com,SwissReAsia_DN@swissre.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F24946.pdf,
F21870,Swiss Re International SE,盧森堡,一般,香港灣仔港灣道18號中環廣場60樓6006室,3605 8800,3605 8802,www.swissre.com/corporatesolutions,Jingwei_jia@swissre.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F21870.pdf,
F4635,泰禾人壽保險有限公司,百慕達,長期,香港太古城英皇道1111號太古城中心一座15樓,3767 8777,2907 8923,www.tahoelife.com.hk,cs@tahoelife.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F4635.pdf,
86424,太平再保險有限公司,中國香港,綜合 (R),香港北角京華道18號17樓,2865 3838,2544 9633,www.tpre.cntaiping.com,mail@tpre.cntaiping.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/86424.pdf,
55000,泰加保險有限公司,中國香港,一般,香港中環皇后大道中181號新紀元廣場低座5樓,2395 4111,2789 1539,www.6161.com.hk,target@6161.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/55000.pdf,
F2472,Toa Reinsurance Company, Limited - The,日本,一般 (R),香港金鐘夏慤道18號海富中心第一期八樓八○一室,2865 7581,2865 2252,www.toare.co.jp,GeneralAffairs@hkg.toare.co.jp,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F2472.pdf
32991,東京海上火災保險(香港)有限公司,中國香港,一般,香港金鐘道九十五號統一中心廿七樓,2529 4401,2529 2509,www.tokiomarine.com.hk,enquiry@tokiomarine.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/32991.pdf,
F14411,Transamerica Life (Bermuda) Ltd.,百慕達,長期,香港港島東華蘭路18號港島東中心58樓,2506 0311,2506 1455,www.transamericalifebermuda.com,customerservicehk@transamerica.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F14411.pdf,
F2544,Transatlantic Reinsurance Company,美國,一般 (R),香港銅鑼灣軒尼詩道500號希慎廣場30樓3001室,2574 0231,2834 5670,www.transre.com,---,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F2544.pdf,
55506,三聯保險有限公司,中國香港,一般,香港干諾道西186-191號香港商業中心<br>10樓1001室,3413 0988,2559 7892,www.tgi.com.hk,tgi@tgi.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/55506.pdf,
F6935,TT Club Mutual Insurance Limited,英國,一般,香港銅鑼灣告士打道255-257號信和廣場1201-1204室,2832 9301,2574 5062,www.ttclub.com,---,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F6935.pdf,
12232,德高保險有限公司,中國香港,一般,香港灣仔駱克道333號中國網路中心28樓,2824 2939,2824 3070,www.tuguhk.com,info@tuguhk.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/12232.pdf,
4671,建安保險有限公司,中國香港,一般,香港灣仔告士打道66號筆克大廈十四樓B室,2528 3661,2865 3157,---,info@ub-insurance.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/4671.pdf,
F19312,United Kingdom Mutual Steam Ship Assurance Association (Europe) Limited - The,英國,一般,香港銅鑼灣告士打道255-257號信和廣場1201-1204室,2832 9301,2574 9954,www.ukpandi.com,hongkong.ukclub@thomasmiller.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F19312.pdf,
F2858,Utmost Worldwide Limited,格恩西,長期,香港灣仔港灣道二十三號鷹君中心24樓2402B室,2526 1899,2537 2587,www.utmostworldwide.com,HKGeneralEnquiries@utmostworldwide.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F2858.pdf,
1381337,立橋保險有限公司,中國香港,一般,香港太古城英皇道1111號太古城中心一座<br>24樓2414-2416室,2884 8898,2884 8896,www.wli.com.hk,info@wli.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/1381337.pdf,
2463144,立橋人壽保險有限公司,中國香港,長期,香港太古城英皇道1111號太古城中心一座16樓1601-1607室,2830 7633,2830 7533,www.wli.com.hk,lifeservice@wli.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/2463144.pdf,
F2596,West of England Ship Owners Mutual Insurance Association (Luxembourg) - The,盧森堡,一般,香港灣仔告士打道38號中國恆大中心<br>1302室,2529 5724,2529 9091,www.westpandi.com,patrick.fung@westpandi.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F2596.pdf,
F8778,XL Insurance Company SE,愛爾蘭共和國,一般,香港黃竹坑道38號安盛匯20樓,2820 5888,2877 8138,www.axaxl.com,OCI@axaxl.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F8778.pdf,
43415,萬通保險國際有限公司,中國香港,長期,香港灣仔駱克道33號萬通保險大廈27樓,2533 5500,2576 6756,www.yflife.com,enquiry@yflife.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/43415.pdf,
F1435,Zürich Lebensversicherungs-Gesellschaft AG (Zurich Life Insurance Company Ltd),瑞士,長期,香港港島東華蘭路18號港島東中心25-26樓,2535 3500,2967 1384,www.zurich.com.hk,service@hk.zurich.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F1435.pdf,
F2088,Zürich Versicherungs-Gesellschaft AG (Zurich Insurance Company Ltd),瑞士,一般,香港港島東華蘭路18號港島東中心25-26樓,2968 2222,2968 0988,www.zurich.com.hk,enquiry@hk.zurich.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F2088.pdf,
F4689,Zurich Assurance Ltd,英國,長期,香港港島東華蘭路18號港島東中心25-26樓,2535 3500,2967 1384,www.zurich.com.hk,service@hk.zurich.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F4689.pdf,
100433,Zurich General Insurance (Hong Kong) Limited,中國香港,一般,香港港島東華蘭路18號港島東中心25-26樓,2968 2222,2968 0988,www.zurich.com.hk,enquiry@hk.zurich.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/100433.pdf,
F3667,Zurich International Life Limited,馬恩島,長期,香港港島東華蘭路18號港島東中心25-26樓,3405 7150,3405 7268,www.zurich.com.hk,helppoint.hk@zurich.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F3667.pdf,
